F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
5.78,-236.25,-7.8,2578.92,Low,USA,3.24,-17.18,-158.14,-675.72,-134.58,18,2,6.87,4980.9,0.22,789.74
13.32,-390.81,-6.4,2506.11,High,Rest,2.76,-19.46,-129.98,-1084.82,-124.48,9,12,20.52,7361.13,0.72,923.31
7.36,-196.35,-9.08,3102.21,Very high,Rest,3.06,-22.08,-222.76,-1317.38,-326.99,9,14,3.66,44407.95,0.02,0
9.88,-461.88,-8.95,1964.52,Low,UK,5.97,-21.44,-138.76,-1022.68,-144.27,6,12,24.51,-1771.2,5.68,646.91
18.33,-422.25,-8.97,1698.51,Low,USA,2.43,-48.4,-268.92,-1147.02,-56.65,27,8,3.48,7500.63,0.94,1163.87
4.66,-278.85,-8.78,2113.23,Very low,Europe,0.77,-23.7,-210.36,-1594.76,-137.21,15,12,17.37,4219.05,3.1,0
10.59,-344.43,-7.14,2275.11,Very low,UK,1.34,-21.76,-201.42,-737.92,-108.16,18,10,3.33,5857.83,1.5,0
10.71,-417.27,-5.71,2289.6,Very high,Europe,1.79,-14.22,-222.58,-1236.84,-207.12,9,4,29.16,-6123.99,0.16,2673.51
10.8,-340.92,-6.24,1249.83,Very low,Rest,10.49,-5.66,-207.42,-1292.42,-190.44,6,6,12.75,16498.2,101.68,615.93
13.9,-451.41,-2.19,1467.75,Low,UK,2.48,-26.38,-164.22,-602.42,-152.6,12,14,6.6,18191.04,1.86,40.22
14.21,-414.33,-3.03,2296.35,Low,UK,1.78,-8.56,-211.98,-1651.08,-171.88,9,8,10.41,7596.48,0.9,46.87
8.98,-342.24,-8.85,2615.58,Medium,USA,2.86,-14.7,-117.88,-2377.62,-171.14,21,8,5.28,12668.67,0.02,128.76
8.03,-187.53,-5.56,3987.93,Very high,Rest,1.48,-25.14,-254.86,-2536.32,-131.19,12,12,8.19,7627.53,4.08,0
9.9,-339.06,-12.82,2006.85,Low,Rest,3.75,-24.8,-237,-1344.38,-128.95,15,14,3.99,-42782.4,4.26,0
6.27,-522.69,-6,3573.75,Very high,USA,5.16,-26.24,-219.06,-913.7,-156.23,9,6,5.94,13020.33,0.02,3763.35
8.85,-539.22,-6.04,1960.89,Very low,USA,2.89,-17.68,-281.76,-1839.48,-194.66,15,10,12.9,9479.7,8.18,1135.27
12.5,-377.16,-7.88,3905.91,High,Rest,2.48,-13.16,-107.52,-1376.24,-137.24,9,6,7.62,-2752.2,0.08,1143.66
11.48,-357.6,-11.6,4921.08,Medium,Rest,3.72,-22.78,-276.68,-647.28,-90.14,6,4,21.72,10589.28,2.68,2370.53
11.87,-338.25,-9.38,4413.21,Very low,Rest,8.28,-17.94,-204.02,-1401.72,-160.96,15,4,4.35,-25149.66,6.38,1709.64
11.65,-377.43,-6.62,1494.93,Low,USA,0.13,-21.34,-232.38,-1387.78,-183.07,9,8,10.44,-18785.25,263.08,0
7.31,-459.51,-9.42,1344.06,Very high,UK,0.39,-19.7,-188.4,-2303.66,-128.15,6,8,16.32,-1938.48,2.98,48.03
12.78,-233.94,-9.84,4875.6,Medium,USA,2.06,-21.46,-250.14,-1546.42,-155.24,3,12,24,-3890.22,20.02,311.36
7.61,-436.74,-6.64,2876.94,High,USA,3.92,-15.9,-109.86,-365.84,-121.52,12,14,4.77,9457.59,0.1,2306.95
7.74,-191.25,-0.98,4167.33,Medium,USA,1.99,-19.78,-176.68,-1323.7,-178.71,12,6,11.04,19273.8,1.34,215.61
10.55,-402.93,-8.8,3400.8,Very low,Rest,2.35,-19.76,-215.68,-1398.9,-196.15,6,4,10.71,28351.89,0.06,664.94
8.63,-411.75,-3.61,1274.01,Very high,Rest,5.99,-29.3,-192.9,-1055.48,-167.65,12,8,8.37,38560.41,605.74,1101.89
16.6,-388.44,-8.3,1301.76,High,Europe,3.85,-27.36,-286.22,-1260.78,-145.85,6,8,7.71,9691.14,9.32,0
2.36,-172.17,-7.64,4359.87,Medium,UK,0.24,-16.28,-157.9,-1387.5,-145.1,9,8,15.81,7897.5,0.26,0
10.46,-257.01,-4.63,2257.2,Medium,USA,9.73,-12.16,-285.72,-1286.32,-153.08,0,8,7.83,8980.41,2.4,128.47
9.58,-296.76,-7.04,1908.87,Very low,USA,1.91,-5.8,-219.54,-1793.24,-192.06,6,8,2.43,6818.79,12.18,0
9.46,-370.41,-10.37,1992.33,Medium,USA,7.95,-20.62,-209.36,-1863.44,-161.12,15,12,11.94,8311.26,28.64,1077.35
7.1,-341.43,-8.93,3154.32,Low,UK,3.27,-21.88,-169.24,-917.12,-138.77,6,6,9.51,28341.75,2.86,238.58
10.22,-277.59,-8.57,2806.14,Very high,Rest,2.68,-24.76,-253.16,-1915.84,-159.71,12,14,24.84,9191.19,24.92,351.24
9.57,-290.52,-5.02,1151.46,Very high,USA,4,-4.46,-279.68,-1021.08,-263.88,18,10,3.9,-6210.45,2.2,51.91
13.21,-346.53,-6.76,2280.03,Very low,Europe,1.9,-23.2,-226.62,-700.36,-85.6,3,8,6.39,-6361.53,13.38,0
9.44,-366.9,-8.19,776.64,High,UK,2.97,-14.08,-250.16,-955.48,-173.29,33,10,10.35,-16738.65,7.26,501.68
9.15,-249.39,-3.05,2297.22,Very low,Rest,2.61,5.48,-146.44,-763.58,-99,12,4,7.14,5232.99,53.78,0
8.61,-192.78,-11.34,4382.94,Medium,UK,8.64,-12.5,-246.42,-685.7,-216.79,9,10,16.86,4768.14,25.6,753.15
8.85,-236.13,-2.79,2968.32,High,USA,3.03,-37.84,-200.44,-1336.56,-277.97,12,8,7.26,-273.84,1.34,30.47
13.22,-232.05,-7.12,1554.84,Very high,USA,7.02,-24.64,-307.18,-265.72,-177.37,15,12,32.28,51257.64,6.72,3300.84
9.3,-332.82,-7.86,2462.16,Medium,Europe,3.57,-11.42,-189.86,-1027.64,-120.08,12,6,16.11,-5092.92,99.18,1327.09
11.22,-315,-7.69,1250.49,Very high,USA,5.86,-12.06,-216,-1429.36,122.66,15,8,7.41,5888.64,36.6,539.15
4.84,-282.9,-7.93,2440.02,Medium,USA,3.71,-9.94,-153.76,-1713.3,-100.4,15,4,24.69,9253.47,0.06,2031.42
4.76,-445.59,-2.97,3477.63,Low,Europe,6.56,-17.88,-301.68,-888.4,-196.97,3,6,9.33,-8835.36,18.74,2379.75
12.57,-217.08,-6.86,3268.62,Low,Rest,0.79,-19.5,-258.68,-540.74,-160.3,15,10,23.13,4517.43,1.1,415.11
7.71,-265.56,-3.54,2620.32,Very high,USA,1.66,-18.28,-172.94,-779.96,-164.76,12,4,1.71,61423.35,250.96,305.34
12.31,-340.11,-4.65,2212.62,Very high,Europe,2.78,-23,-249.02,-216.62,-73.8,6,6,4.32,34205.34,108.8,809.88
7.13,-295.74,-10.04,2376.06,High,UK,2.59,-10.8,-82.84,-1265.36,-189.92,18,4,23.1,-2231.22,0,756.11
13.31,-414.33,-7.52,3172.29,Very low,USA,0.89,0.38,-291.94,-993.74,-151.25,9,10,3.27,2645.97,7.44,0
7.36,-526.65,-9.62,-310.65,Very low,USA,3.92,-19.62,-91.06,-1981.84,-180.23,6,8,10.8,-10221.63,0.48,0
10.23,-477.39,-4.38,3602.49,Very high,USA,0.52,-20.1,-196.06,-695.52,-221.39,21,14,17.55,16752.84,0.04,3687.89
7.66,-414.06,-9.15,2507.58,Medium,UK,3.5,-16.44,-188.02,-1068.86,-144.33,12,10,8.43,16011.6,15.34,342.77
9.08,-491.91,-5.38,2600.58,High,UK,1.5,-17,-266.14,-1531.4,-100.81,9,6,9.51,-11466.27,1.54,545.06
9.32,-289.17,-3.02,3360.42,Medium,UK,2.49,-1.44,-261.86,-1566.9,-88.55,3,6,3.6,4662.66,0.02,0
8.71,-344.28,-8.87,2559.3,High,USA,3.26,-22.68,-323.46,-323.38,-165.21,6,6,13.68,443.94,1.96,2226.12
7.3,-352.53,-4.17,2356.77,High,USA,9.51,-24.98,-230,-1270.52,-180.82,15,6,24.93,14537.43,0.08,3759.64
6.98,-362.16,-3.59,3073.32,Low,Rest,3.75,-18.34,-277.18,-980.04,-197.36,9,12,7.8,15570.03,0.24,289.89
8.03,-282.12,-8.6,3775.62,Very low,USA,1.19,-28.52,-155.72,-2191.82,-161.25,18,0,9,4301.25,338.28,319.32
9.58,-417.06,-12.53,2554.23,Very low,UK,3.8,-13.34,-170.06,-2525.76,-77.37,21,6,17.73,14361.63,14658.52,412.32
15.89,-286.02,-8.34,2143.86,Very low,Europe,2.5,10.12,-179.98,-1715.6,-167.8,15,8,8.94,14408.64,0.6,0
9.61,-484.29,-7.6,2120.91,Very low,Europe,2.47,-24.06,-211.44,-726.02,-152.89,15,6,13.26,5420.91,0.56,2022.55
13.61,-312.96,-3.95,1962.12,High,USA,3.93,-23.4,-181.88,259.06,-175.41,15,10,6.09,12779.04,10.2,1473.57
14.76,-491.82,-8.28,3229.17,Very high,USA,3.68,-20.64,-169.48,-794.94,-163.7,9,8,11.88,874.47,0.3,3684.1
17.8,-228.27,-15.71,2842.59,Very high,Europe,1.85,-20,-219.54,-1063.9,-153.83,9,8,18.72,7088.85,0.66,227.74
7.58,-331.74,-10.59,3232.5,High,Rest,4.47,-19.62,-241.08,-776.9,-192.09,12,10,5.76,-3853.74,0.04,962.3
9.94,-400.35,-14.26,4718.22,Very low,Rest,3.16,-20.68,-211.78,-1993.42,-107.12,12,10,2.64,-793.89,52.62,452.91
7.63,-328.2,-7.8,2680.8,Very low,Europe,1.66,-39.6,-192.42,-768.42,-151.58,6,14,2.76,-33426.12,0.38,0
7.67,-284.28,-4.61,4481.76,Very low,UK,0.86,-22.56,-68.96,-1527.16,-168.88,6,6,2.25,174.06,287.38,0
10.83,-374.76,-6.65,2264.22,Very high,UK,6.08,-1.82,-218.38,-1283.48,-141.88,12,2,7.08,17148.3,12.2,895.12
8.56,-290.88,-10.29,3232.44,Very high,USA,1.87,-20.06,-147.12,-1484.96,-154.6,3,10,13.71,9071.13,0,86.63
11,-237.24,-5.1,1716.93,Low,USA,3.1,1.42,-195.3,-1895.2,-131.6,9,10,18.99,1857.36,1.92,0
8.48,-263.22,-3.88,3198.66,Medium,Europe,4.77,-18.94,-200.64,-507.2,-154.14,12,4,3.78,11323.92,114.38,1220.29
12.66,-316.89,-7.92,2061.42,Medium,USA,3.62,-23.56,-230,-2142.3,-155.38,12,6,15.18,11978.67,628.24,82.44
17.13,-242.7,-12.4,2690.16,Low,Europe,4.23,-14.68,-154.8,-1654.28,-120.68,9,8,7.23,9313.77,0.5,0
9.8,-438.93,-7.3,1625.31,Very low,USA,3.29,-20.08,-135.64,-1600.24,-226.86,21,6,6.54,11094.03,0,769.82
18.98,-394.11,-12.12,3798.54,High,Europe,0.78,-22.32,-225.86,-1477.88,-168.14,15,6,10.68,44950.02,3.78,1986.75
16.37,-472.35,-8.69,2498.76,Medium,UK,1.09,-34.64,-131.46,-1401.18,-166.12,9,10,7.47,14656.05,1.36,170.14
7.42,-294.51,-5.85,3444.75,High,Rest,3.1,-11.48,-266.5,-452.4,-131.6,24,14,12.15,-323.07,2,1296.1
9.73,-364.26,-8.46,2372.94,High,USA,1.69,-26.2,-242.64,-2612.34,-189.95,12,12,9.6,6175.8,85.7,0
10.19,-299.13,-6.16,3277.68,Low,UK,6.94,-18.6,-246.66,-1809.84,-171.75,12,8,19.56,8268.78,186.18,494.3
12.15,-262.74,-7.38,3282.54,Medium,Rest,0.3,-24.72,-212.22,-2267.36,-96.83,15,12,4.32,5890.8,0.54,0
14.47,-379.77,-4.73,3076.92,High,UK,1.62,-21.22,-216.46,-498.2,-164.22,15,6,15.66,21028.92,3.28,957.84
6.24,-400.53,-5.23,4428.93,Very low,USA,5.97,-18.54,-244.8,-991.54,-141.33,12,6,17.73,1616.67,257.04,3685.93
9.54,-270.45,-10.78,3600.48,Very high,UK,3.95,-25.1,-229.14,-928.44,-79.53,9,2,2.4,19488.54,2.1,541.42
9.84,-248.19,-5.05,1481.91,Medium,Europe,6.61,-20.56,-148.16,-1430.94,-128.09,6,6,15.09,16792.53,0,0
10.11,-355.38,-6.52,3660,High,Rest,7.66,-21.92,-216.36,-1024.82,-183.03,9,8,26.88,16693.41,3.16,2505.65
10.78,-224.55,-12.43,2863.62,Very high,USA,0.51,-18.88,-335.8,-1412.7,-181.79,21,6,6.99,12461.13,0.24,246
13.6,-284.76,-7.72,5383.95,Very low,Rest,3.1,-22.3,-236.16,-2124.72,-136.1,24,4,14.28,17812.77,133.1,1523.13
9.89,-455.7,-8.25,2929.29,High,Europe,2.02,-19.92,-293.34,-1313.14,-261.59,15,6,10.77,652.98,6.98,2334.96
10.85,-281.28,-7.8,3306.81,Very high,UK,2.89,1.92,-93.24,-774.94,-187.15,9,6,7.11,9957.42,0.12,409.9
13.11,-377.79,-6.12,3815.94,Medium,Rest,6.27,-23.04,-352.26,-1382.5,-215.21,12,14,3.45,-23401.53,43.06,804.32
8.81,-253.23,-10.28,1732.2,Low,UK,1.92,-26.24,-267.64,-476.92,-214.29,12,4,15.51,21347.97,0.58,91.9
12.31,-268.14,-0.82,3732.24,High,UK,4.7,-18.52,-102.34,-1393.26,-167.81,12,10,15.57,13625.43,0.6,459.92
13.48,-367.71,-3.55,2384.25,Very low,USA,0.95,0.68,-213.34,-954.88,-161.48,15,10,13.35,11413.77,13.24,73.27
7.94,-181.08,-6.73,3147.03,Very low,Rest,0.86,-11.86,-228.04,-1810.16,-201.69,12,6,10.08,17880.03,0,0
7.69,-84.72,-5.96,344.19,Medium,UK,2.77,-20.32,-300.3,-1699.44,-149.17,21,10,8.61,14138.52,83.98,0
12.54,-361.05,-6.27,2105.73,Very high,Europe,8.94,-23.88,-160.54,-1888.44,-213.53,15,6,4.92,17288.91,0.02,2186.52
4.31,-323.88,-9.59,1970.7,Very low,USA,0.91,-18.26,-91.5,-520.1,-146.61,12,6,30,34542.6,3.86,1226.5
17.53,-295.8,-7.3,3394.05,Very low,Europe,4.32,-26.9,-271.64,-1895.06,-156.8,15,12,16.23,-8995.23,6.92,0
7.99,-455.46,-8.31,2712.3,Medium,Europe,4.81,-25.7,-224.84,-1299.38,-150.63,3,8,8.49,13287.18,53.82,1187.77
8.83,-448.2,-8.72,3200.07,Very low,Rest,4.04,-14.42,-113.1,-1567.7,-161.97,15,12,3.33,13002.45,11.9,474.22
9.46,-376.29,-4.44,2858.82,Very high,Rest,3.07,-18.72,-220.9,-1883.66,-99.13,12,8,2.1,8166.6,22.54,470.74
13.07,-456.33,-4.19,3059.43,Medium,Rest,2.77,-16.42,-175.3,-1044.42,-163.14,18,4,2.67,21775.2,2.8,1603.33
12.16,-399.27,-8.33,3050.01,Low,UK,3.33,-25.88,-353.4,-1671.26,-84.59,9,10,1.65,3500.31,0,25.89
13.58,-380.01,-6.56,3283.59,High,Rest,1.35,-15.54,-191.12,-1683.86,-187.03,24,6,26.88,12591.72,0.26,2128.83
8.18,-379.05,-3.34,3452.7,Very high,UK,3.92,-28.08,-124.06,-1541.72,-172.62,9,6,12.9,-2899.32,27.08,789.57
9.43,-426.18,-12.38,3660.93,High,Rest,1.4,-19.74,-133.32,-834.1,-154.35,9,8,20.82,11709.9,782.2,1759
12.68,-271.56,-6.93,2625,Very high,USA,8.41,-17.22,-209.22,-2023.5,-148.78,9,12,19.14,14850,0.04,1427.31
4.58,-221.64,-10.05,2869.56,High,UK,2.39,-44.5,-251.84,-1488.36,-145.11,9,20,5.97,17916.18,0.08,0
14.2,-378.96,-6.9,3141.06,High,USA,3.17,-19.48,-246.16,-613.4,-155.88,27,6,16.26,-26031.3,0.18,3760.66
8.94,-327.66,-10.04,1176.57,Medium,UK,1.98,-24.38,-245.48,-1049.94,-134.26,15,2,8.91,16077.48,10.56,133.26
7.54,-417.84,-9.46,3189.24,High,Rest,2.17,-25.74,-328.24,-1401.7,-129.55,6,12,9.87,-1087.26,19.76,487.25
13.17,-191.1,-5.72,2358.6,Medium,UK,1.67,-23.9,-198.88,-1652.66,-170.71,12,8,7.98,6973.62,28.48,0
9.46,-272.55,-8.46,2216.22,Very low,UK,4.97,-13.9,-204.48,-1706.4,-141.23,0,8,24.57,16460.37,0.02,0
9.93,-431.97,-8.8,2801.88,Very low,Europe,5.73,-13.1,-258.16,-2042.86,-225.03,12,6,2.37,-41137.26,49.16,405.89
10.26,-180.93,-7.04,1693.29,Very low,USA,3.05,-19.52,-301.56,-1119.86,-115.57,6,8,21.75,18441.21,0.3,0
11.46,-291.27,-9.28,1752.45,High,Europe,1.97,-21.46,-292.12,-1022.9,-164.85,9,6,15.84,-8408.67,0.4,0
11.97,-435.24,-8.73,4282.38,Medium,USA,8,-26.8,-197.96,-2103.92,-159.66,9,8,13.77,10590.78,1253.3,3599.16
16.07,-226.83,-11.67,3694.35,Low,Rest,2.84,-17.88,-311.58,-1376.5,-76.9,12,2,11.97,10872.45,0,579.51
13.61,-160.83,-6.37,2626.02,Very low,Europe,3.71,-19.98,-201.04,-1594.42,-140.21,18,8,11.22,-10653.66,13.18,0
12.97,-427.2,-0.36,2465.52,Very high,Europe,5.79,-19.46,-158.32,-1550.66,-177.55,15,14,1.35,2545.02,1.86,1096.66
6.95,-430.08,-2.94,2911.62,Low,UK,4.54,-30.6,-298.64,-954.12,-160.78,0,6,12.24,6378.39,6.84,442.63
12.42,-355.59,-10.24,3683.37,High,UK,4.56,-12.14,-179.16,-1644.02,-153.8,21,12,13.77,625.59,1.3,789.58
12.9,-344.67,-8.18,2177.13,High,UK,11.29,-32.34,-232.16,-2751.64,-146.26,12,10,14.64,9117.78,0.64,528.88
9.74,-309.36,-8.24,2653.44,Very low,Europe,0.66,-33.62,-241.06,-1986.56,-170.89,9,10,24.45,10625.52,929.3,0
14.91,-354.27,-3.88,935.55,Very low,Europe,5.13,-39.56,-276.22,-321.42,-195.24,12,4,12.42,-28874.88,1,749.75
9.01,-333.78,-5.75,1383.9,Medium,UK,1.06,-31.94,-258.26,-921.58,-129.95,9,4,22.35,-6541.8,78.5,204.91
7.5,-351.54,-0.21,2651.13,Very low,Europe,1.38,-27.28,-187.96,-2070.58,-151.34,12,10,8.4,41238.57,252.72,0
10.19,-255.93,-8.26,2060.49,High,Europe,3.44,-21.88,-230.76,-1941.98,-184.71,12,8,12.75,5320.8,1.46,0
14.52,-184.44,-6.29,2599.05,Very low,UK,2.91,-21.7,-282.06,-1503.92,-164.75,9,4,5.31,1939.92,12.36,0
10.24,-356.4,-10.06,2899.56,Low,UK,5.59,-24.72,-151.46,-2376.04,-166.23,30,6,20.55,6291.6,48.2,1006.84
13.51,-422.46,-10.26,4295.67,Very high,Rest,8.19,-22.32,-208.64,-1594.84,-159.46,9,8,19.98,-18891.48,0.04,2851.64
9.28,-246.51,-13.6,3205.65,Medium,Rest,2.7,-18.24,-109.66,-1519.5,-162.12,18,10,10.2,-16059.6,0.04,172.5
13.34,-467.67,-5.95,3060.6,Medium,Rest,4.97,-20.14,-215.36,-1433.22,-172.9,21,12,25.26,17733.66,117.16,2288.95
13.35,-232.56,-1.46,3914.97,Very low,USA,3.32,-19.12,-199.6,-683.46,-89.05,18,4,6,-11377.14,58.38,1059.5
10.25,-476.76,-14.72,4491.27,High,Rest,1.22,-14.66,-170.34,-1535.82,-181.49,18,6,16.47,8730.96,0.06,2468.4
12.51,-251.49,-6.31,1856.91,Low,Europe,1.09,-12.4,-272.92,-366.14,-120.1,9,2,3.54,-3529.08,0.1,0
12.61,-320.61,-13.2,3572.1,Medium,UK,1.47,-19.56,-158.08,-2700.88,-151.84,9,12,2.22,7929.6,0.04,0
9.66,-430.08,-7.76,2691.03,Low,Europe,3.47,-19.86,-190.68,-963.46,-270.7,15,8,19.14,10382.1,22.42,2314.75
11.32,-360.78,-7.78,2522.73,Very high,Europe,0.68,-25.58,-186.22,-1758.3,-50.32,9,8,17.16,830.64,1.3,307.93
17.58,-301.35,-7.77,3942,Very low,Europe,0.69,-12.24,-226.36,202.3,-67.88,6,8,7.14,8096.25,0.22,26.4
13.02,-333.96,-7.71,2072.67,Medium,UK,3.85,-18.76,-205.64,-1675.96,-144.09,6,6,8.04,13155.72,3.96,0
5.78,-417.21,-9.64,3227.58,Very low,Rest,8.52,-10.32,-175.74,-1096.84,-138.42,12,12,15.18,-13374.12,0,1613.6
11.79,-302.01,-9.28,2759.76,Very high,Europe,2.18,-25.96,-206.04,-2127.22,-178.28,18,12,8.64,7366.32,1.16,0
13.74,-435.21,-7.88,3360.15,Very high,USA,4.3,-28.42,-204.14,-509.4,-100.76,9,6,0.99,7076.1,7.04,3465.82
10.21,-266.43,-4.72,1859.7,Very low,Europe,1.02,-18,-202.22,-563.48,-178.01,21,6,15.21,-16922.91,3.7,0
10.15,-562.53,-3.89,1990.47,Medium,Rest,7.08,-32.4,-251.42,-1093.18,-180.29,6,12,3.48,3151.68,0.06,1269.65
14.43,-491.04,-6.85,1586.58,Low,UK,4.01,-10.14,-271.96,-58.92,-183.06,15,8,2.82,-7504.38,0.2,639.53
13.59,-253.53,-5.82,3347.79,Very high,UK,1.37,-12.2,-163.14,-1222.86,-141.53,9,12,9.39,7861.77,2.96,0
9.44,-466.05,-4.05,2650.56,Medium,Europe,6.62,-9.06,-186.04,-1619.24,-179.7,12,10,5.67,-6412.05,0.14,1870.88
16.73,-356.73,-4.16,1931.49,Very high,Rest,4.38,-21.4,-256.88,-684.6,-176.6,3,4,21.6,7512.06,206.12,1444.47
7.98,-369.6,-5.14,1667.04,High,Europe,0.53,-12.2,-251.58,-2284.52,-61.56,21,10,4.53,8331.6,0.24,0
11.63,-393.51,-6.18,2705.79,High,Europe,6.11,-22.84,-215.6,-235.72,-176.88,21,6,13.8,3122.55,49.26,2910.86
11.02,-289.23,-6.33,3002.19,Very high,USA,7.88,-20.8,-178.3,-1209.3,-252.22,9,12,4.77,2242.47,0.4,1179.69
5.1,-330.81,-8.39,2813.52,Medium,UK,4.35,-21.44,-324.5,-421.5,-151.94,9,6,4.56,3463.86,1.68,395.47
8.44,-321.78,-11.52,2247.48,Medium,USA,1.5,-20.22,-263.08,-1374.6,-175.15,12,8,2.31,6470.37,3.98,0
14.84,-394.98,-2.64,2720.1,Low,Rest,1.4,-22.22,-159.58,-591.8,-141.57,15,12,8.07,6245.49,12.14,430.12
11.26,-315.15,-6.51,1728.45,Very high,USA,1.83,-21.88,-214.14,-2190.46,-119.09,6,6,6.99,-950.43,51.14,0
13.42,-193.2,-6.84,1689.3,Very high,Europe,1.04,-19.06,-233.08,-2031.74,-142.39,9,10,29.22,-4982.64,0.02,0
15.33,-471.03,-4.21,2970.78,Very high,Rest,4.52,-12.54,-191.88,-1793.04,-173.34,6,8,13.23,27733.89,20.7,1488.69
7.1,-276.78,-8.3,2448.45,Low,UK,9.27,-13.4,-155.46,-1864.32,-156.78,9,10,19.86,-13022.19,534.02,269.2
8.09,-260.82,-4.44,2063.01,Medium,UK,0.91,-14.86,-159.4,-1895.56,-131.87,3,14,7.59,-8394.75,2309.78,0
12.78,-338.43,-9.29,1779.78,Very high,USA,1.92,-15.86,-248.14,-908.7,-136.3,9,16,17.43,3614.25,0.02,45.78
