F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
11.7,0.9,1.04,12.28,20.25,146.58,0.39,9,10.85,144.56,-6,1.95,1,1.85,10.23,False
37.7,15.3,6.66,0.82,5.34,272.58,0.38,350,4.33,484.56,4.5,24.45,10,7.53,,False
17.7,24.45,9.24,0.88,13.62,-87.42,0.17,285,3.46,274.56,6.24,26.1,10,7.08,9.4,False
7.7,24.45,9.18,-0.32,3.63,47.58,0.36,5,2.86,344.56,7.12,23.1,10,8.58,12.23,True
15.7,5.37,0.14,12.58,17.28,161.58,2.98,16,8.03,124.56,-4.84,2.19,1,1.98,,True
15.7,0.72,-0.5,13.36,20.28,179.58,0.49,55,7.86,118.56,-3.52,1.71,1,2.1,11.54,True
11.7,4.62,-1.58,8.98,25.29,74.58,-0.49,1,8.05,114.56,-5.26,1.17,1,2.2,12.57,True
15.7,6.12,0.74,12.16,18.6,155.58,1.31,35,10.75,136.56,-2.44,2.43,1,2.21,,True
11.7,3.78,1.58,8.7,21.36,161.58,-0.08,13,8.21,126.56,-10.74,2.85,1,2.15,11.49,True
15.7,2.28,-2.4,11.54,21.03,140.58,3.03,40,7.46,82.56,-9.86,0.81,1,2.1,,False
37.7,27.15,10.04,0.42,7.71,167.58,-1.89,140,2.81,144.56,7.24,19.65,10,8.73,,True
37.7,27.9,10.56,0.78,6.21,-42.42,-1.09,50,2.51,194.56,3.64,18.15,10,8.98,,True
17.7,32.55,7.36,3.16,3.66,122.58,-0.09,45,3.15,424.56,6.64,28.95,10,7.03,,True
17.7,39.75,9.02,2.04,4.2,-12.42,0.27,80,3.9,364.56,4.74,19.8,10,8.53,11.74,True
37.7,40.95,7.24,6.94,10.95,107.58,-1.37,30,5.16,344.56,2.7,21,10,6.08,,False
11.7,4.35,-2.2,11.3,19.53,146.58,0.05,34,12.07,124.56,-5.42,2.37,1,1.52,,False
57.7,26.7,9.08,1.68,7.8,227.58,-1.19,60,8.83,514.56,5.36,18.45,10,8.48,,False
7.7,3.21,-1.96,8.82,19.23,98.58,0.01,13,7.69,110.56,-2.42,0.51,1,2.18,,False
11.7,0.93,0.2,10.66,20.16,152.58,2.93,50,12.32,128.56,-2.16,2.19,1,2.29,,True
11.7,4.23,1.06,10.82,17.85,134.58,2.24,19,8.12,92.56,-2.6,3.06,1,1.74,,True
7.7,1.62,0.7,10.46,17.04,68.58,0.29,9,7.31,78.56,-1.78,2.55,1,1.9,,True
11.7,4.23,0.38,8.8,17.19,101.58,0.41,18,7.76,132.56,-2.54,0.93,1,2.1,,False
17.7,34.2,11.66,2.62,1.41,92.58,0.29,275,3.06,344.56,1.9,26.4,10,8.88,11.46,True
37.7,23.25,5.02,3.48,2.58,377.58,-0.71,230,2.56,424.56,4.12,18,10,10.23,,True
37.7,43.5,4.7,2.46,8.1,362.58,-0.38,190,5.04,504.56,3.06,20.55,10,6.98,11.01,False
37.7,27.6,8.88,3.38,7.2,242.58,-0.94,135,8.5,314.56,5.28,16.05,10,7.88,,False
15.7,3.42,-1.54,9.02,22.02,179.58,-0.94,8,7.99,100.56,-3.42,0.9,1,1.89,,True
11.7,4.14,-1.1,10.16,23.22,170.58,1.48,53,7.32,100.56,-3.5,1.83,1,2.18,11.08,True
37.7,20.4,10.28,3.8,1.83,-177.42,2.32,235,3.61,134.56,8.64,24.15,10,9.23,,True
9.7,3.69,0.96,10.16,20.34,107.58,-0.31,0,8.26,98.56,-4.1,1.23,1,1.78,,False
15.7,0.03,-2.04,10.7,20.7,140.58,2.38,2,8.11,124.56,-4.34,1.05,1,2.03,9.41,False
15.7,2.19,0.42,9.1,18.39,167.58,-0.75,31,9.81,118.56,-4.46,2.67,1,1.98,,True
11.7,3.12,0.36,13.88,19.14,167.58,-0.68,20,8.73,82.56,-7.62,1.02,1,1.84,10.19,False
11.7,3.57,-7.62,9.18,16.98,80.58,1.92,39,7.39,136.56,-7.72,1.14,1,2.12,10.88,True
17.7,40.35,10.02,2.54,3.09,-102.42,-1.66,100,3.22,214.56,5.42,24.9,10,7.03,10.91,True
37.7,25.65,11.98,-2.3,0.18,107.58,1.32,350,3.27,264.56,3.34,27,10,9.98,11.74,True
37.7,30.9,11,0.58,6.96,-72.42,1.07,375,2.66,154.56,7.56,22.35,10,8.68,9.6,False
11.7,3.66,-0.84,15.86,16.98,167.58,0.39,4,8.27,64.56,-3.54,1.02,1,1.56,,True
17.7,40.8,4.92,5.66,3.66,-42.42,-1.21,200,4.96,494.56,6.48,18.3,10,10.08,,True
15.7,2.49,1.06,10.18,18,137.58,-0.55,41,8.22,104.56,-6.56,0.45,1,2.12,,False
11.7,4.8,0.78,10.04,17.52,119.58,0.35,10,7.64,144.56,-5.46,2.01,1,1.93,11.76,False
27.7,16.65,6.58,5.72,8.97,137.58,2.04,95,8.33,314.56,5.8,21.3,10,7.03,10.04,False
9.7,3.42,-0.86,13.1,24.12,122.58,-0.03,10,7.86,124.56,-2.34,2.49,1,1.77,,False
11.7,1.77,-4.12,8.9,18.57,137.58,0.22,13,7.58,124.56,-2.92,1.38,1,2.04,10.8,False
37.7,22.2,11.38,-0.88,4.38,167.58,-1.16,245,2.89,214.56,5.9,22.5,10,8.43,10.65,True
11.7,4.65,-3.08,10.88,18.21,167.58,-0.42,17,8.95,122.56,-3.12,2.22,1,1.6,11.5,False
11.7,2.19,-5.04,14.54,19.29,173.58,0.45,27,9.15,130.56,-4.24,1.53,1,1.95,10.11,False
37.7,16.65,8.7,2.28,4.08,32.58,-1.02,150,7.34,384.56,-1.32,26.85,10,6.88,10.04,False
11.7,4.2,-0.28,10.8,19.14,131.58,-0.44,54,7.79,94.56,-3.34,0.15,1,2.06,10.31,False
37.7,27.3,3.76,0.42,3.3,-87.42,0.46,355,5.48,114.56,7.12,18,10,7.98,,False
37.7,17.55,6.44,3.58,11.4,257.58,-1.53,150,4.26,304.56,-2.1,15.75,10,6.93,,False
37.7,17.4,6.14,3.26,9.06,32.58,0.09,220,5.2,454.56,1.88,17.25,10,7.68,10.1,False
15.7,1.74,0.14,9.58,18.69,152.58,0.9,5,7.84,132.56,-3.32,1.86,1,1.58,,False
7.7,3.93,1.48,10.76,15.81,92.58,0.8,61,8.38,86.56,-3.98,2.04,1,2.3,9.83,True
7.7,3.78,-1.3,17.68,17.7,68.58,0.05,20,7.92,60.56,-2.38,0.09,1,2.27,11.94,True
17.7,30.3,2.22,7.2,13.26,-72.42,3.44,305,5.86,504.56,-0.12,16.5,10,6.53,8.91,False
11.7,4.89,-6.76,9.14,23.58,110.58,0.44,36,7.77,82.56,-5.18,2.22,1,1.53,,False
17.7,32.85,8.02,4.44,13.23,17.58,0.26,215,3.54,364.56,7.02,29.7,10,7.98,,True
57.7,17.1,9.18,4.58,4.86,212.58,-1.33,145,3.75,234.56,4.36,22.35,10,6.78,,False
7.7,1.98,-3.98,16.62,17.37,107.58,-0.11,3,8.68,112.56,-5.22,2.58,1,2.02,,True
11.7,1.65,1.42,14.68,19.53,134.58,0.69,29,7.62,112.56,-2.84,0.57,1,2.15,10.54,False
7.7,3.03,-0.02,10.64,16.38,74.58,0.18,24,8.38,72.56,-4.04,1.89,1,1.92,,True
37.7,41.7,9.52,3.04,11.46,242.58,-0.57,350,3.13,144.56,4.7,17.25,10,7.63,,False
37.7,18.75,11.06,7.42,1.56,-72.42,2.27,325,4.17,94.56,7.56,29.55,10,7.23,,False
15.7,3.39,1.16,12.98,18,182.58,-0.43,33,10.49,128.56,-2.82,2.28,1,1.66,,False
11.7,0.9,-0.24,8.9,24.03,152.58,-0.5,4,12.08,114.56,-2.98,1.77,1,1.86,11.02,False
37.7,41.55,6.56,6.04,18.03,212.58,-2.25,135,5.38,334.56,3.08,16.8,10,6.28,10.92,False
57.7,38.25,4.66,3,10.23,257.58,-1.56,195,5.2,504.56,4.64,21.9,10,7.18,10.48,False
7.7,3.57,1.08,10.48,17.7,71.58,0.59,39,9.03,132.56,-8.56,2.07,1,2.02,11.98,True
37.7,40.5,5.24,10.44,8.97,257.58,-0.81,140,5.88,474.56,2.88,18.3,10,7.28,9.62,False
17.7,34.95,10.38,3.54,2.64,-27.42,-0.29,175,4.16,224.56,6.9,22.2,10,7.83,12.23,True
15.7,2.43,-2.54,11.32,18.72,155.58,-0.11,13,7.7,142.56,-3.1,0.06,1,1.88,9.93,False
37.7,18.75,10.76,1.22,6.18,47.58,-0.17,335,3.9,254.56,3.9,23.7,10,8.53,,False
13.7,4.53,-2.96,9.32,19.5,122.58,-0.21,28,9.85,148.56,-2.04,2.79,1,2.07,,True
11.7,3.78,0.66,9.12,15.93,113.58,-0.6,26,7.3,68.56,-2.4,1.68,1,2.25,,True
11.7,4.02,-5.04,14.3,18.57,170.58,2.61,2,7.75,128.56,-3.54,1.23,1,1.29,9.81,False
15.7,2.28,-2.16,8.82,21.72,161.58,1.22,16,8.51,136.56,-2.28,2.82,1,1.91,11.15,True
11.7,4.68,-4.76,9.78,22.65,68.58,0.21,31,8.74,144.56,-4.88,1.77,1,1.75,,False
11.7,0.18,-1.36,9.42,17.85,140.58,-0.32,17,8.51,138.56,-7.58,1.23,1,2.04,10.59,False
11.7,2.13,0.88,14.28,25.53,125.58,0.89,35,7.68,110.56,-3.1,1.47,1,1.99,,False
37.7,16.5,7.06,9.02,6.42,257.58,-1.69,145,3.99,544.56,6.06,27.15,10,7.28,,False
17.7,21.6,9.42,0.82,7.32,-27.42,0.34,70,3.57,174.56,6.64,20.4,10,7.63,,False
57.7,15,11.72,-1.96,1.32,227.58,-1.09,320,2.8,344.56,7.36,22.35,10,10.58,,True
57.7,23.85,8.52,0,5.46,212.58,-2.02,180,2.99,204.56,5.54,17.55,10,8.03,,True
27.7,19.65,11,-1.54,2.7,137.58,0.84,315,2.22,384.56,7.04,20.25,10,10.33,,False
37.7,22.65,10.68,1,3.09,17.58,1.07,250,4.1,314.56,7.06,28.8,10,7.93,,True
7.7,6.09,0.8,8.62,18.72,110.58,-0.26,13,10.21,120.56,-5.34,3,1,2.22,11.14,True
37.7,22.65,4.94,-1.18,6.81,2.58,-1.21,80,2.37,234.56,5.64,30.15,10,7.78,,True
17.7,36.3,9.6,-1.26,3.45,-27.42,3.43,325,2.32,444.56,6.8,26.7,5,8.23,,True
15.7,2.46,-0.82,9.12,19.59,188.58,-1.02,10,10.58,66.56,-5.24,1.41,1,1.51,,True
13.7,5.1,-0,17.66,16.59,122.58,0.68,38,7.33,142.56,-2.76,1.62,1,2.21,10.95,False
7.7,1.92,-1,12.06,16.41,101.58,0.44,18,8.11,92.56,-2.36,2.01,1,1.88,,True
37.7,24.45,9.86,-0.1,14.31,77.58,-1.37,195,3.14,424.56,2.24,18.6,10,9.88,,True
11.7,5.52,0.92,9.18,18.66,116.58,0.73,47,7.58,94.56,-4.58,0.36,1,2.08,11.43,False
17.7,19.5,9.3,-0.32,4.53,122.58,-1.52,25,4.1,444.56,7.62,23.4,10,9.48,,True
15.7,0.33,0.2,9.08,17.97,173.58,-0.11,62,7.65,148.56,-2.46,2.7,1,1.99,11.87,True
17.7,38.55,10.54,-1.16,1.65,47.58,0.12,330,2.22,464.56,8.32,22.35,10,10.38,10.82,True
9.7,2.91,-1.7,9.56,17.37,122.58,-0.37,66,7.73,78.56,-2.7,2.49,1,2,,True
15.7,5.49,1,9.88,17.28,176.58,0.32,6,8.9,102.56,-2.9,1.98,1,1.95,,True
37.7,26.85,7.22,1.98,5.79,-102.42,0.14,360,3.66,344.56,3.68,21.45,10,7.38,9.92,False
7.7,43.8,4.58,5.04,7.83,92.58,-1.93,5,5.25,324.56,5.4,16.95,10,7.73,10.17,False
15.7,0.96,1.24,9.02,18.69,179.58,-0.18,3,8.19,146.56,-2.98,3,1,1.97,10.23,True
7.7,2.31,1.5,13.1,19.26,65.58,-0.3,2,8.13,90.56,-5.8,1.2,1,2.04,,True
11.7,4.05,-6.36,11.08,24.33,140.58,-0.27,21,7.56,142.56,-7.18,2.46,1,2.21,12.68,True
37.7,41.1,9.9,5.72,7.47,-117.42,0.11,330,5.64,404.56,4.82,24,10,8.53,9.83,False
37.7,34.8,6.6,2.84,4.02,62.58,-1.12,55,3.34,264.56,-0.26,20.55,10,7.38,,False
11.7,4.38,0.7,10.2,21.72,170.58,-0.62,52,7.76,134.56,-2.66,0.54,1,2.07,10.07,False
37.7,42.6,4.94,2.28,6.42,332.58,-2.12,360,3.62,474.56,4.6,26.1,10,7.08,,False
15.7,4.14,0.8,12.62,18.15,149.58,-1.03,21,7.82,148.56,-3.4,0.12,1,2.24,11.86,True
57.7,28.2,6.02,5.06,9.84,392.58,-0.68,345,5.67,504.56,1.28,18.6,10,6.83,,False
15.7,5.85,-3.5,9.84,19.29,167.58,0.52,15,8.62,82.56,-3.94,0.18,1,1.86,11.81,True
37.7,22.8,9.68,0.52,12.3,347.58,-1.35,95,3.82,244.56,5.9,24.15,10,6.98,10.43,False
15.7,1.38,-0.88,9.04,20.46,131.58,-0.34,43,7.76,86.56,-2.12,1.77,1,1.89,,False
11.7,4.47,0.26,19.68,24.15,173.58,-0.72,36,7.99,138.56,-2.94,0.12,1,2.14,,False
11.7,2.1,0.16,14.96,18.12,80.58,-0.41,5,8.95,84.56,-3.8,1.8,1,2.1,12.83,True
11.7,4.17,0.56,10,23.64,65.58,-0.54,21,7.41,84.56,-4.62,2.19,1,1.75,11.22,False
37.7,23.1,8.24,1.36,9.03,-117.42,0.44,375,3.96,514.56,3.72,20.55,10,7.73,10.89,False
37.7,33.45,9.08,1.7,23.58,-147.42,0.33,370,4.16,54.56,8.86,24.75,10,9.13,11.92,True
15.7,5.22,1.24,9.18,18.9,149.58,-0.41,68,7.83,98.56,-8.92,1.17,1,1.74,10.67,False
15.7,3.39,-2.46,9.62,17.55,146.58,1.82,49,8.74,114.56,-4.78,2.4,1,1.68,10.24,False
37.7,20.4,5.58,12.4,13.44,-87.42,0.47,140,5.57,424.56,-1.36,16.8,10,6.13,,False
17.7,44.7,9.48,3.26,8.4,62.58,-0.99,235,3.36,424.56,1.58,21,10,7.93,,False
7.7,3.33,1.36,8.7,19.11,107.58,-0.56,14,8.25,144.56,-4.12,2.88,1,1.94,9.84,False
17.7,18,12.06,-0.66,3.12,-57.42,1.57,330,3.31,134.56,8.4,21,10,10.93,,False
17.7,15.9,4.06,4.36,11.13,-57.42,0.59,95,4.22,414.56,0.94,19.5,10,6.88,9.85,False
15.7,4.92,-8.64,9.26,16.62,161.58,0.11,36,10.06,78.56,-5.82,0.78,1,2.07,,True
17.7,28.35,10.18,-0.2,4.38,-132.42,-0.33,155,4.78,214.56,5.84,27.3,10,6.38,10.23,False
15.7,2.67,-0.78,9.12,20.52,173.58,0.46,21,7.74,82.56,-2.36,2.28,1,1.98,12.43,True
37.7,32.85,8.58,0.26,4.68,152.58,-0.78,355,2.98,294.56,5.28,17.85,10,8.33,10.56,False
15.7,2.52,-1.24,8.78,15.87,152.58,-0.94,22,8.38,86.56,-5.88,1.62,1,2.31,,True
7.7,2.04,-3.52,10.82,18.39,116.58,-0.52,11,7.62,120.56,-5.66,0.45,1,2.25,,False
7.7,3.03,-1.78,9.64,21.57,101.58,1.06,15,8.02,114.56,-6.02,2.73,1,1.75,,False
15.7,0.81,1.2,10.62,16.95,143.58,1.32,16,8.88,90.56,-5.8,0.72,1,1.8,,False
17.7,39.45,10.9,-0.64,3.69,47.58,4.11,340,3.6,524.56,7.54,28.35,10,8.33,,False
11.7,0.84,-6.14,9.82,16.23,77.58,-0.34,5,7.49,96.56,-2,2.52,1,1.99,11.61,True
37.7,31.95,9.18,2.5,7.62,-117.42,-1.92,85,3.71,514.56,4.6,15.45,10,8.98,,False
57.7,20.1,9.64,-0.16,3.24,332.58,1.38,205,5.18,224.56,5.84,18.3,10,8.03,11.32,True
37.7,37.65,10.06,8.06,9.48,-117.42,-1.21,190,3.18,444.56,7.54,15.75,10,10.28,12.15,True
17.7,16.05,9.18,3.88,24.45,-72.42,-0.07,265,5.23,494.56,3.86,27.6,10,6.93,,False
37.7,23.55,10.96,2.12,21.03,-42.42,-0.11,165,2.69,464.56,6.64,27.9,10,8.18,11.76,True
37.7,23.7,8.32,4.16,6.15,-162.42,0.15,210,5.72,244.56,1.96,17.55,10,6.83,,False
37.7,15.45,10.54,0.44,3.12,107.58,0.63,265,2.74,94.56,6.88,28.5,10,6.83,,False
37.7,23.4,2.8,4.7,10.77,212.58,-0.96,115,4.73,404.56,3.16,20.1,10,6.58,,False
17.7,19.65,7.08,2.72,10.47,17.58,0.39,255,5.59,464.56,0.62,15.75,10,7.53,9.2,False
17.7,20.7,3.86,9.9,11.04,-72.42,0.31,220,5.09,384.56,0.12,15.9,10,6.53,,False
37.7,30.45,6.9,-0.78,2.1,377.58,-0.26,225,2.77,154.56,5.4,23.1,10,7.98,12.34,True
47.7,29.4,7.34,13.96,6.99,137.58,-1.63,215,5.05,494.56,5.44,29.1,10,6.68,,False
37.7,30.3,7.14,1.24,5.97,-162.42,-1.82,20,4.17,374.56,4,16.8,10,8.43,,False
37.7,38.25,10.54,2.58,7.35,167.58,1.7,250,4.61,354.56,5.24,23.55,10,7.98,,True
17.7,42.6,7.2,2.84,9.33,-162.42,0.67,340,7.73,504.56,2.76,26.55,10,6.28,10.05,False
17.7,20.85,7.24,1.86,1.8,107.58,-0.36,195,2.8,244.56,7.2,25.05,10,10.28,,True
11.7,5.07,-3.5,10.4,20.58,170.58,1.27,70,11.34,58.56,-2.18,2.37,1,1.72,,True
17.7,34.35,10.52,-1.26,3.66,107.58,0.34,390,2.56,244.56,7.38,16.5,10,10.08,,False
11.7,2.04,-0.02,8.94,17.46,158.58,-0.63,10,8.45,118.56,-4.22,2.16,1,1.59,,False
15.7,5.4,1.48,13.76,18.72,155.58,1.73,75,7.45,74.56,-4.84,0.99,1,2.06,,True
15.7,2.4,-0.02,11,19.29,140.58,-0.66,33,8.76,82.56,-9.66,1.02,1,1.85,9.89,False
15.7,1.65,-0.7,11.8,17.13,134.58,-0.24,10,7.59,132.56,-2.66,0.63,1,2.06,,False
57.7,19.35,3.52,1.5,7.89,407.58,-1.07,345,3.81,194.56,3.14,24.3,10,7.03,,True
13.7,3.27,-0.64,11.34,17.67,122.58,2.2,11,9.57,98.56,-7.12,2.7,1,1.45,10.37,False
11.7,1.26,-2.02,15.58,21.84,119.58,1.2,10,9.19,146.56,-8.36,1.92,1,2.02,,False
11.7,4.23,1.38,16,18.6,125.58,1.48,13,7.58,64.56,-6.04,0.84,1,1.97,11.95,True
57.7,19.05,7.38,0.5,7.08,407.58,-0.87,210,4.05,524.56,5.02,18.45,10,8.93,,False
17.7,16.8,11.26,4.02,2.4,2.58,-0.32,140,4.34,204.56,7.4,28.95,10,7.83,12.37,True
11.7,2.7,-1.68,8.96,21.66,155.58,1.23,56,7.64,112.56,-4.56,1.5,1,2.08,,True
11.7,0.12,-0.06,9.88,21.09,158.58,0.26,42,7.37,96.56,-3.78,1.92,1,2.06,,True
15.7,4.77,-2.94,10.08,21.45,143.58,1.6,18,9.27,96.56,-2.86,0.66,1,1.55,10.84,False
11.7,4.02,-2.74,11.84,19.62,86.58,0.52,63,7.98,78.56,-2.82,3,1,1.77,11.65,True
37.7,19.65,7.02,2.7,13.74,-57.42,-0.07,130,6.87,534.56,-1.58,20.25,10,7.03,9.39,False
11.7,3.42,-0.6,8.82,18.12,143.58,-0.05,58,7.7,80.56,-1.68,2.97,1,2.17,,True
11.7,5.97,-0.32,11.02,18.81,140.58,-0.08,18,7.54,78.56,-2.3,1.29,1,2.14,,True
7.7,5.52,-8.64,9.46,17.49,110.58,0.23,4,9.01,150.56,-6.48,1.68,1,1.9,,False
11.7,4.56,-2.26,11.32,19.62,137.58,-0.27,4,7.69,98.56,-5.14,0.39,1,1.75,,False
17.7,21.75,1.94,2.88,11.79,-12.42,2.06,205,5.29,434.56,3.4,21.15,10,6.53,8.19,False
15.7,4.92,-1.52,9.9,17.97,170.58,0.68,25,13.3,72.56,-3.82,1.59,1,1.66,12.05,True
11.7,1.8,-0.52,13.74,16.14,182.58,0.61,16,8.03,82.56,-2.52,1.41,1,2.28,,True
17.7,24.6,12.42,4.12,3.45,32.58,-0.68,140,2.28,134.56,8.44,30.6,10,8.48,11.06,True
57.7,29.25,4.04,0.84,5.64,212.58,0.29,185,3.46,394.56,4.96,19.2,10,7.83,10.86,False
11.7,1.17,1.22,10.64,16.26,110.58,1.44,26,7.36,112.56,-3.52,2.55,1,2.08,11.01,True
11.7,0.99,0.62,11.66,16.26,77.58,0.57,11,8.28,130.56,-4.4,2.52,1,2.08,11.95,True
37.7,44.85,10.16,1.8,2.58,167.58,-1.57,380,3.86,104.56,6.56,17.1,10,8.33,12.99,True
17.7,39.15,6.42,3.04,12.81,47.58,-2.16,95,6.51,174.56,4.62,20.4,10,7.48,10.95,True
37.7,38.4,4.16,3.4,10.62,182.58,-0.32,160,3.98,264.56,2.5,18.75,10,6.58,,False
11.7,5.04,0.42,13.46,19.56,152.58,-0.3,3,7.68,138.56,-8.26,1.41,1,1.59,,True
11.7,4.95,-3.18,10.5,21.48,176.58,-0.86,25,9.46,140.56,-2.04,1.62,1,2.22,,True
57.7,26.7,6.76,0.12,2.94,287.58,-1.66,225,5.23,494.56,6.98,28.2,10,7.83,,True
15.7,5.07,1.58,12.48,18.57,173.58,1.15,30,9.11,102.56,-2.08,1.5,1,2.23,11.35,True
11.7,4.29,-0.38,9.62,16.56,128.58,-0.64,18,7.63,66.56,-7.2,1.59,1,1.78,10.68,False
11.7,4.5,0.02,9.7,17.76,59.58,-0.28,42,8.15,110.56,-2.8,1.92,1,1.79,11.66,True
15.7,4.44,0.38,16.7,16.26,146.58,-0.93,7,8.01,70.56,-2.96,0.6,1,2.2,11.96,True
11.7,2.61,1.12,11.14,17.85,161.58,-0.98,6,8.57,76.56,-2.4,0.57,1,1.98,11.65,True
15.7,4.29,1.5,9.28,16.41,158.58,-1,7,8.23,70.56,-2,2.37,1,1.95,,True
57.7,22.8,5.52,0.18,0.66,212.58,-1.22,250,2.4,164.56,7.88,17.85,10,10.33,,True
17.7,19.05,10.62,1.42,5.52,-72.42,1.01,190,2.47,374.56,9.12,26.55,10,11.23,,True
15.7,5.67,-3.44,10.46,19.8,176.58,0.27,6,7.88,138.56,-3.88,1.92,1,1.74,,True
11.7,1.17,1.4,9.82,21.03,62.58,-0.5,11,8.18,116.56,-2.78,2.01,1,2.05,12.06,True
37.7,20.55,8.94,-0.76,9.27,-117.42,-0.32,50,2.55,254.56,8.02,24.6,10,8.68,,True
17.7,31.65,6.52,2.34,7.56,-147.42,0.23,345,4.14,324.56,6,15.3,10,9.38,,False
17.7,24.45,8.98,3.36,6.12,107.58,-0.29,95,7.22,214.56,6.34,17.4,10,8.18,,False
15.7,5.88,-2.26,14,19.11,164.58,2.2,15,8.03,108.56,-2.5,1.26,1,1.77,11.8,True
11.7,5.37,-1.58,9.9,18.99,143.58,-0.07,4,8.09,148.56,-3.56,1.38,1,1.57,9.64,False
11.7,4.05,0.46,12.52,18.21,116.58,0.78,11,8.73,100.56,-5.56,0.45,1,1.89,,False
17.7,25.2,12.14,-1.5,4.86,-72.42,0.49,340,1.73,124.56,5.68,29.4,10,10.03,12.73,True
11.7,3.96,-1.96,10.74,16.53,95.58,1.32,58,8.34,76.56,-4.56,2.43,1,2.04,,True
57.7,17.85,8.94,1.84,6.12,167.58,-1.92,95,4.97,434.56,4.8,17.85,10,8.03,,False
11.7,6.03,1.62,9.3,19.17,140.58,0.84,6,8.15,104.56,-6.78,1.08,1,2.3,,True
15.7,3.57,-2.04,14.1,18.78,128.58,0.23,66,9.66,128.56,-2.06,0.87,0,2.16,11.19,True
11.7,2.34,1.42,12.18,21.03,137.58,-0.14,7,8.57,76.56,-3.02,0.27,1,2.08,10.23,False
57.7,41.25,5.48,7.32,11.61,167.58,-1.41,205,5.47,504.56,-0.96,24.3,10,5.93,,False
37.7,36.45,8.74,2.08,17.1,-102.42,1.28,165,3.67,294.56,5.36,18.45,10,8.38,11,True
